code,name,year,price,dividend,dividend_yield,first_trading_day
600030,模拟股票31,2022,61.04,6.02,9.87,2022-01-02
600045,模拟股票46,2022,187.48,18.43,9.83,2022-01-02
000024,模拟股票25,2022,13.69,1.34,9.79,2022-01-02
000091,模拟股票92,2022,16.43,1.61,9.77,2022-01-02
600075,模拟股票76,2022,56.26,5.42,9.64,2022-01-02
600086,模拟股票87,2022,91.21,8.72,9.56,2022-01-02
600072,模拟股票73,2022,144.76,13.82,9.55,2022-01-02
000035,模拟股票36,2022,100.75,9.53,9.46,2022-01-02
600088,模拟股票89,2022,123.54,11.67,9.45,2022-01-02
000016,模拟股票17,2022,139.72,13.15,9.41,2022-01-02
000001,模拟股票2,2022,12.63,1.18,9.34,2022-01-02
000038,模拟股票39,2022,32.41,3.02,9.32,2022-01-02
000044,模拟股票45,2022,73.02,6.68,9.15,2022-01-02
600047,模拟股票48,2022,159.79,14.25,8.92,2022-01-02
000049,模拟股票50,2022,185.38,16.33,8.81,2022-01-02
000082,模拟股票83,2022,190.76,16.81,8.81,2022-01-02
600025,模拟股票26,2022,74.53,6.54,8.78,2022-01-02
600077,模拟股票78,2022,113.26,9.83,8.68,2022-01-02
000017,模拟股票18,2022,84.79,7.33,8.64,2022-01-02
000090,模拟股票91,2022,102.45,8.81,8.6,2022-01-02
000007,模拟股票8,2022,177.14,15.15,8.55,2022-01-02
000057,模拟股票58,2022,5.37,0.45,8.29,2022-01-02
600059,模拟股票60,2022,21.42,1.76,8.21,2022-01-02
000092,模拟股票93,2022,42.16,3.43,8.14,2022-01-02
000076,模拟股票77,2022,36.83,2.92,7.94,2022-01-02
600062,模拟股票63,2022,32.57,2.56,7.86,2022-01-02
000010,模拟股票11,2022,26.09,2.03,7.79,2022-01-02
000050,模拟股票51,2022,108.62,8.44,7.77,2022-01-02
000095,模拟股票96,2022,140.29,10.56,7.53,2022-01-02
600032,模拟股票33,2022,12.13,0.9,7.4,2022-01-02
000023,模拟股票24,2022,100.32,7.27,7.25,2022-01-02
600085,模拟股票86,2022,34.27,2.46,7.19,2022-01-02
600087,模拟股票88,2022,161.41,11.59,7.18,2022-01-02
