code,name,year,price,dividend,dividend_yield
600176,模拟股票177,2025,18.9,1.89,9.99
000033,模拟股票34,2025,121.72,12.1,9.94
600156,模拟股票157,2025,93.21,9.27,9.94
600118,模拟股票119,2025,85.0,8.41,9.89
600108,模拟股票109,2025,12.13,1.2,9.88
000067,模拟股票68,2025,34.83,3.36,9.66
600040,模拟股票41,2025,195.93,18.89,9.64
600018,模拟股票19,2025,90.84,8.75,9.63
600194,模拟股票195,2025,134.41,12.94,9.63
000021,模拟股票22,2025,78.91,7.58,9.6
600052,模拟股票53,2025,62.6,5.93,9.47
000041,模拟股票42,2025,154.09,14.58,9.46
600132,模拟股票133,2025,61.1,5.77,9.45
600122,模拟股票123,2025,70.38,6.64,9.43
600116,模拟股票117,2025,8.18,0.77,9.36
600184,模拟股票185,2025,197.49,18.49,9.36
000169,模拟股票170,2025,143.11,13.37,9.34
600042,模拟股票43,2025,172.23,16.02,9.3
000087,模拟股票88,2025,80.82,7.52,9.3
000161,模拟股票162,2025,161.02,14.93,9.27
600026,模拟股票27,2025,116.76,10.77,9.22
000037,模拟股票38,2025,83.35,7.63,9.16
000107,模拟股票108,2025,169.64,15.39,9.07
000131,模拟股票132,2025,19.13,1.73,9.05
000197,模拟股票198,2025,134.9,12.21,9.05
000027,模拟股票28,2025,7.23,0.65,8.96
000155,模拟股票156,2025,175.65,15.74,8.96
000063,模拟股票64,2025,189.84,16.69,8.79
600068,模拟股票69,2025,186.32,16.36,8.78
000007,模拟股票8,2025,19.77,1.73,8.75
