股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sh.600000,浦发银行,0.6,9.68,6.2,0.48,8.53,5.63,0.41,7.28,5.63,0.32,6.62,4.83,0.321,10.29,3.12,0.41,11.39,3.6,2.541,4.83
sh.600007,中国国贸,0.38,12.45,3.05,0.4,14.4,2.78,0.6,15.83,3.79,0.7,19.38,3.61,0.8,24.46,3.27,1.1,19.7,5.58,3.98,3.68
sh.600008,首创环保,0.08,2.83,2.83,0.07,3.41,2.05,0.1,2.83,3.53,0.13,2.69,4.83,0.1,3.28,3.05,0.17,3.03,5.61,0.65,3.65
sh.600011,华能国际,0.135,4.48,3.01,0.18,9.69,1.86,0.0,7.61,0.0,0.0,7.7,0.0,0.2,6.77,2.95,0.27,7.8,3.46,0.785,2.82
sh.600012,皖通高速,0.23,6.18,3.72,0.23,7.08,3.25,0.55,7.31,7.52,0.55,11.02,4.99,0.601,17.65,3.41,0.604,14.8,4.08,2.765,4.5
sh.600015,华夏银行,0.249,6.25,3.98,0.301,5.6,5.38,0.338,5.19,6.51,0.383,5.62,6.81,0.484,8.01,6.04,0.305,6.94,4.39,2.06,5.52
sh.600016,民生银行,0.37,5.2,7.12,0.213,3.9,5.46,0.213,3.45,6.17,0.214,3.74,5.72,0.346,4.13,8.38,0.198,4.0,4.95,1.554,6.3
sh.600017,日照港,0.025,2.88,0.87,0.035,2.81,1.25,0.04,2.82,1.42,0.04,2.75,1.45,0.065,3.2,2.03,0.119,3.03,3.93,0.324,1.82
sh.600019,宝钢股份,0.28,5.95,4.71,0.65,7.16,9.08,0.43,5.59,7.69,0.21,5.93,3.54,0.31,7.0,4.43,0.22,7.18,3.06,2.1,5.42
sh.600020,中原高速,0.058,3.39,1.71,0.035,3.27,1.07,0.1,2.96,3.38,0.019,3.68,0.52,0.149,4.22,3.53,0.17,4.44,3.83,0.531,2.34
