股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.600000,浦发银行,0.41,11.48,3.57
sh.600004,白云机场,0.157,9.65,1.63
sh.600006,东风股份,0.005,7.43,0.07
sh.600007,中国国贸,1.1,20.05,5.49
sh.600008,首创环保,0.17,3.02,5.63
sh.600009,上海机场,0.51,31.66,1.61
sh.600010,包钢股份,0.002,2.43,0.08
sh.600011,华能国际,0.27,7.78,3.47
sh.600012,皖通高速,0.604,15.39,3.92
sh.600015,华夏银行,0.305,6.93,4.4
sh.600016,民生银行,0.198,4.09,4.84
sh.600017,日照港,0.119,3.01,3.95
sh.600018,上港集团,0.145,5.47,2.65
sh.600019,宝钢股份,0.22,7.25,3.03
sh.600020,中原高速,0.17,4.4,3.86
sh.600021,上海电力,0.28,23.06,1.21
sh.600022,山东钢铁,0.0,1.49,0.0
sh.600023,浙能电力,0.34,5.03,6.76
sh.600025,华能水电,0.2,9.47,2.11
sh.600026,中远海能,0.21,12.08,1.74
sh.600027,华电国际,0.22,5.15,4.27
sh.600028,中国石化,0.228,5.78,3.94
sh.600029,南方航空,0.0,6.78,0.0
sh.600030,中信证券,0.28,27.59,1.01
sh.600031,三一重工,0.67,20.32,3.3
sh.600032,浙江新能,0.052,7.4,0.7
sh.600033,福建高速,0.05,3.88,1.29
sh.600035,楚天高速,0.17,4.0,4.25
sh.600036,招商银行,2.0,42.95,4.66
sh.600037,歌华有线,0.027,7.74,0.35
sh.600038,中直股份,0.204,35.42,0.58
sh.600039,四川路桥,0.409,9.43,4.34
sh.600048,保利发展,0.17,6.76,2.51
sh.600050,中国联通,0.1733,5.4,3.21
sh.600051,宁波联合,0.12,7.83,1.53
sh.600052,东望时代,0.02,4.95,0.4
sh.600053,九鼎投资,0.0,18.8,0.0
sh.600054,黄山旅游,0.172,11.2,1.54
sh.600055,万东医疗,0.13,16.25,0.8
sh.600056,中国医药,0.1053,10.78,0.98
sh.600057,厦门象屿,0.35,8.22,4.26
sh.600058,五矿发展,0.0,8.58,0.0
sh.600059,古越龙山,0.08,9.24,0.87
sh.600060,海信视像,0.88,25.91,3.4
sh.600061,国投资本,0.127,7.32,1.73
sh.600062,华润双鹤,0.471,18.61,2.53
sh.600063,皖维高新,0.14,5.92,2.36
sh.600064,南京高科,0.3,8.39,3.58
sh.600066,宇通客车,1.5,31.11,4.82
sh.600067,冠城新材,0.22,4.09,5.38
sh.600071,凤凰光学,0.0,21.08,0.0
sh.600072,中船科技,0.03,12.31,0.24
sh.600073,光明肉业,0.07,6.72,1.04
sh.600075,新疆天业,0.02,4.96,0.4
sh.600076,康欣新材,0.0,3.05,0.0
sh.600078,澄星股份,0.0,11.82,0.0
sh.600079,人福医药,0.32,19.33,1.66
sh.600080,金花股份,0.03,8.55,0.35
sh.600081,东风科技,0.05,12.13,0.41
sh.600082,海泰发展,0.0,4.77,0.0
sh.600084,中信尼雅,0.0,5.7,0.0
sh.600085,同仁堂,0.5,33.45,1.49
sh.600088,中视传媒,0.034,17.13,0.2
sh.600089,特变电工,0.25,21.8,1.15
sh.600094,大名城,0.0,4.23,0.0
sh.600095,湘财股份,0.0,11.27,0.0
sh.600096,云天化,1.6,30.97,5.17
sh.600097,开创国际,0.08,12.41,0.64
sh.600098,广州发展,0.37,6.75,5.48
sh.600099,林海股份,0.03,10.86,0.28
sh.600100,同方股份,0.0,8.67,0.0
sh.600101,明星电力,0.12,9.05,1.33
sh.600103,青山纸业,0.012,3.95,0.3
sh.600104,上汽集团,0.088,14.97,0.59
sh.600105,永鼎股份,0.085,16.42,0.52
sh.600106,重庆路桥,0.036,6.09,0.59
sh.600107,ST尔雅,0.0,7.88,0.0
sh.600108,亚盛集团,0.0055,3.11,0.18
sh.600109,国金证券,0.12,9.15,1.31
sh.600110,诺德股份,0.0,7.52,0.0
sh.600111,北方稀土,0.035,45.0,0.08
sh.600113,浙江东日,0.12,54.8,0.22
sh.600114,东睦股份,0.3,27.74,1.08
sh.600115,中国东航,0.0,5.04,0.0
sh.600116,三峡水利,0.04,6.47,0.62
sh.600117,西宁特钢,0.0,2.9,0.0
sh.600118,中国卫星,0.01,43.4,0.02
sh.600119,长江投资,0.0,8.53,0.0
sh.600120,浙江东方,0.084,6.25,1.34
sh.600121,郑州煤电,0.0,4.5,0.0
sh.600123,兰花科创,0.15,6.44,2.33
sh.600125,铁龙物流,0.14,6.13,2.28
sh.600126,杭钢股份,0.0,8.88,0.0
sh.600127,金健米业,0.0,6.86,0.0
sh.600128,苏豪弘业,0.1,10.71,0.93
sh.600129,太极集团,0.0,19.24,0.0
sh.600130,*ST波导,0.0,4.17,0.0
sh.600131,国网信通,0.1712,16.65,1.03
sh.600132,重庆啤酒,0.9,53.16,1.69
sh.600133,东湖高新,0.165,8.95,1.84
sh.600135,乐凯胶片,0.0,7.83,0.0
sh.600136,ST明诚,0.0,1.81,0.0
sh.600137,浪莎股份,0.186,19.9,0.93
sh.600138,中青旅,0.07,9.57,0.73
sh.600141,兴发集团,1.0,32.5,3.08
sh.600143,金发科技,0.1,18.17,0.55
sh.600148,长春一东,0.0,19.82,0.0
sh.600149,廊坊发展,0.0,5.55,0.0
sh.600150,中国船舶,0.25,34.37,0.73
sh.600151,航天机电,0.0,9.3,0.0
sh.600152,维科技术,0.0,7.66,0.0
sh.600153,建发股份,0.4,9.95,4.02
sh.600155,华创云信,0.0,6.97,0.0
sh.600156,华升股份,0.01,8.98,0.11
sh.600157,永泰能源,0.0,1.61,0.0
sh.600158,中体产业,0.0197,8.56,0.23
sh.600159,大龙地产,0.0,3.19,0.0
sh.600160,巨化股份,0.23,33.52,0.69
sh.600161,天坛生物,0.25,17.29,1.45
sh.600162,香江控股,0.011,2.0,0.55
sh.600163,中闽能源,0.083,5.39,1.54
sh.600165,*ST宁科,0.0,3.96,0.0
sh.600166,福田汽车,0.0,2.77,0.0
sh.600167,联美控股,0.2,8.3,2.41
sh.600168,武汉控股,0.027,5.28,0.51
sh.600169,ST太重,0.0,2.41,0.0
sh.600170,上海建工,0.06,2.76,2.17
sh.600171,上海贝岭,0.17,32.26,0.53
sh.600172,黄河旋风,0.0,6.25,0.0
sh.600173,卧龙新能,0.0,7.88,0.0
sh.600176,中国巨石,0.41,14.91,2.75
sh.600177,雅戈尔,0.46,7.72,5.96
sh.600178,东安动力,0.005,12.04,0.04
sh.600179,安通控股,0.0,4.14,0.0
sh.600180,瑞茂通,0.035,4.56,0.77
sh.600182,S佳通,0.59,15.56,3.79
sh.600183,生益科技,1.0,57.68,1.73
sh.600184,光电股份,0.0,18.39,0.0
sh.600185,珠免集团,0.0,6.96,0.0
sh.600186,莲花控股,0.0,5.54,0.0
sh.600187,国中水务,0.0,2.67,0.0
sh.600188,兖矿能源,0.72,13.91,5.18
sh.600189,泉阳泉,0.0,7.2,0.0
sh.600191,华资实业,0.0,11.54,0.0
sh.600192,长城电工,0.0,9.14,0.0
sh.600193,*ST创兴,0.0,4.05,0.0
sh.600195,中牧股份,0.023,7.77,0.3
sh.600196,复星医药,0.32,27.13,1.18
sh.600197,伊力特,0.45,14.39,3.13
sh.600198,大唐电信,0.0,8.43,0.0
sh.600199,金种子酒,0.0,10.06,0.0
sh.600200,*ST苏吴,0.0,1.24,0.0
sh.600201,生物股份,0.03,12.22,0.25
sh.600202,哈空调,0.01,6.19,0.16
sh.600203,福日电子,0.02,14.6,0.14
sh.600206,有研新材,0.109,19.8,0.55
sh.600207,安彩高科,0.0,5.23,0.0
sh.600208,衢州发展,0.0,4.15,0.0
sh.600210,紫江企业,0.3,7.28,4.12
sh.600211,西藏药业,1.609,42.28,3.81
sh.600212,绿能慧充,0.0,8.34,0.0
sh.600215,派斯林,0.015,7.03,0.21
sh.600216,浙江医药,0.37,14.03,2.64
sh.600217,中再资环,0.0,4.13,0.0
sh.600218,全柴动力,0.06,11.34,0.53
sh.600219,南山铝业,0.13,4.71,2.76
sh.600221,海航控股,0.0,1.73,0.0
sh.600222,太龙药业,0.0,8.04,0.0
sh.600223,福瑞达,0.06,7.65,0.78
sh.600226,亨通股份,0.0,4.45,0.0
sh.600227,赤天化,0.0,2.77,0.0
sh.600228,*ST返利,0.0,7.0,0.0
sh.600229,城市传媒,0.07,7.04,0.99
sh.600230,沧州大化,0.021,12.3,0.17
sh.600231,凌钢股份,0.0,2.27,0.0
sh.600232,金鹰股份,0.1,7.16,1.4
sh.600233,圆通速递,0.36,17.05,2.11
sh.600234,科新发展,0.0,12.74,0.0
sh.600235,民丰特纸,0.017,6.9,0.25
sh.600236,桂冠电力,0.17,6.91,2.46
sh.600237,铜峰电子,0.0,8.71,0.0
sh.600238,*ST椰岛,0.0,6.71,0.0
sh.600239,云南城投,0.0,2.66,0.0
sh.600241,时代万恒,0.0,9.28,0.0
sh.600243,*ST海华,0.0,5.36,0.0
sh.600246,万通发展,0.0,12.92,0.0
sh.600248,陕建股份,0.09,3.71,2.43
sh.600249,两面针,0.03,6.31,0.48
sh.600250,南京商旅,0.0,10.56,0.0
sh.600251,冠农股份,0.18,8.91,2.02
sh.600252,中恒集团,0.0,2.9,0.0
sh.600255,鑫科材料,0.0,3.56,0.0
sh.600256,广汇能源,0.622,5.0,12.44
sh.600257,大湖股份,0.0,6.05,0.0
sh.600258,首旅酒店,0.36,15.28,2.36
sh.600259,广晟有色,0.0,52.58,0.0
sh.600261,阳光照明,0.14,3.48,4.02
sh.600262,北方股份,0.316,25.96,1.22
sh.600265,ST景谷,0.0,20.38,0.0
sh.600266,城建发展,0.05,4.71,1.06
sh.600267,海正药业,0.21,10.45,2.01
sh.600268,国电南自,0.14,10.43,1.34
sh.600269,赣粤高速,0.17,5.28,3.22
sh.600271,航天信息,0.004,9.01,0.04
sh.600272,开开实业,0.044,14.76,0.3
sh.600273,嘉化能源,0.4,8.32,4.81
sh.600276,恒瑞医药,0.2,62.08,0.32
sh.600278,东方创业,0.103,7.91,1.3
sh.600279,重庆港,0.04,5.12,0.78
sh.600280,中央商场,0.0,3.69,0.0
sh.600281,华阳新材,0.0,5.92,0.0
sh.600282,南钢股份,0.2036,5.51,3.7
sh.600283,钱江水利,0.25,9.41,2.66
sh.600284,浦东建设,0.18,7.34,2.45
sh.600285,羚锐制药,0.9,21.84,4.12
sh.600287,苏豪时尚,0.0,5.83,0.0
sh.600288,大恒科技,0.0,15.02,0.0
sh.600289,ST信通,0.0,6.38,0.0
sh.600292,远达环保,0.0,12.73,0.0
sh.600293,三峡新材,0.0,3.17,0.0
sh.600295,鄂尔多斯,0.6,11.09,5.41
sh.600298,安琪酵母,0.55,41.0,1.34
sh.600299,安迪苏,0.18,9.15,1.97
sh.600300,维维股份,0.128,3.56,3.6
sh.600301,华锡有色,0.0,38.84,0.0
sh.600302,标准股份,0.0,10.54,0.0
sh.600303,曙光股份,0.0,3.52,0.0
sh.600305,恒顺醋业,0.1,7.93,1.26
sh.600307,酒钢宏兴,0.0,1.64,0.0
sh.600308,华泰股份,0.008,3.94,0.2
sh.600309,万华化学,0.73,67.12,1.09
sh.600310,广西能源,0.03,3.84,0.78
sh.600312,平高电气,0.255,16.79,1.52
sh.600313,农发种业,0.0,6.6,0.0
sh.600315,上海家化,0.039,23.2,0.17
sh.600316,洪都航空,0.017,32.96,0.05
sh.600318,新力金融,0.02,8.66,0.23
sh.600319,亚星化学,0.0,9.75,0.0
sh.600320,振华重工,0.055,4.54,1.21
sh.600322,津投城开,0.0,2.58,0.0
sh.600323,瀚蓝环境,1.05,28.76,3.65
sh.600325,华发股份,0.124,4.57,2.71
sh.600326,西藏天路,0.0,11.21,0.0
sh.600327,大东方,0.03,5.06,0.59
sh.600328,中盐化工,0.1234,8.4,1.47
sh.600329,达仁堂,1.28,45.48,2.81
sh.600330,天通股份,0.022,9.73,0.23
sh.600331,宏达股份,0.0,11.0,0.0
sh.600332,白云山,0.8,25.8,3.1
sh.600333,长春燃气,0.0,6.41,0.0
sh.600335,国机汽车,0.11,6.26,1.76
sh.600336,澳柯玛,0.01,7.74,0.13
sh.600337,美克家居,0.0,2.74,0.0
sh.600338,西藏珠峰,0.055,14.49,0.38
sh.600339,中油工程,0.048,3.37,1.42
